code	titre	grille
LIVRES_POUR_BEBE	Livres pour bébé	G0
LIVRES_SONORES	Livres sonores	G0
ROMANS_POUR_ENFANTS	Romans pour enfants	G0
BANDES_DESSINEES	Bandes dessinées	G0
ROMANS_POUR_ADULTES	Romans pour adultes	G0
MANGAS	Mangas	G0
MANUELS_SCOLAIRES	Manuels scolaires	G0
FICTIONS	Fictions	G0
NON_FICTION	Non-fiction	G0
LIVRES_CUISINE	Cuisine	G0
LIVRES_MAGAZINES	Magazines et revues	G0
VINYLES	Vinyles	G0
CD	CD	G0
CASSETTES_AUDIO	Cassettes audio	G0
DVD	DVD	G0
BLURAY	Blu-ray	G0
CARTE_A_L_UNITE	Carte à l'unité	G0
LOT_DE_CARTES	Lot de cartes	G0
BOOSTER	Booster	G0
CONSOLES_PORTABLES	Consoles portables	G0
CONSOLES_DE_SALON	Consoles de salon	G0
JEUX_VIDEO_PLAYSTATION	Jeux PlayStation	G0
JEUX_VIDEO_XBOX	Jeux Xbox	G0
JEUX_VIDEO_NINTENDO	Jeux Nintendo	G0
JEUX_VIDEO_PC	Jeux PC	G0
JEUX_VIDEO_RETRO	Jeux rétro	G0
HOUSSES_ORDINATEUR_PORTABLE	Housses pour ordinateur portable	G0
HIGHTECH_COQUES_TELEPHONE	Coques et étuis de téléphone	G0
HIGHTECH_PROTECTIONS_ECRAN	Protections d’écran	G0
HIGHTECH_SUPPORTS_GRIPS	Supports, anneaux et bijoux de téléphone	G0
HIGHTECH_CHARGEURS_CABLES	Chargeurs, câbles et batteries externes	G0
HIGHTECH_AUDIO_CASQUES	Casques et écouteurs	G0
HIGHTECH_MONTRES_ACCESSOIRES	Bracelets et coques de montre connectée	G0
HIGHTECH_HOUSSES_TABLETTE	Housses de tablette et liseuse	G0
HIGHTECH_AUTRES	Autres accessoires high-tech	G0
LOISIRS_COUTURE	Couture et mercerie	G0
LOISIRS_TRICOT_CROCHET	Tricot et crochet	G0
LOISIRS_PEINTURE_DESSIN	Peinture et dessin	G0
LOISIRS_BRODERIE	Broderie et point de croix	G0
LOISIRS_SCRAPBOOKING	Scrapbooking et papeterie créative	G0
LOISIRS_BIJOUX_DIY	Bijoux DIY	G0
LOISIRS_MODELISME	Modélisme et maquettes	G0
LOISIRS_CREATIFS_ENFANTS	Loisirs créatifs enfants	G0
LOISIRS_FILAMENT_3D	Filament pour impression 3D	G0
LOISIRS_AUTRES	Autres loisirs créatifs	G0
HC_MEMORABILIA_SPORTS	Souvenirs de sport	G0
HC_MEMORABILIA_MUSIC	Souvenirs de musique	G0
HC_MEMORABILIA_FILMTV	Souvenirs TV et cinéma	G0
HC_MEMORABILIA_OTHER	Autres souvenirs	G0
HC_NUMISMATICS_BANKNOTES	Billets	G0
HC_NUMISMATICS_COINS	Pièces de monnaie	G0
HC_NUMISMATICS_LOTS	Lots de monnaies	G0
HC_NUMISMATICS_MEDALSTOKENS	Médailles et jetons	G0
HC_NUMISMATICS_SHARES	Titres et actions	G0
HC_PHILATELY_SINGLES	Timbres à l'unité	G0
HC_PHILATELY_LOTS	Lots de timbres	G0
HC_PHILATELY_FDC	Enveloppes premier jour	G0
HC_PHILATELY_GUIDES	Catalogues et guides de timbres	G0
HC_PHILATELY_TOOLS	Outils et matériel pour timbres	G0
HC_POSTCARDS	Cartes postales	G0
HC_STORAGE_ALBUMS	Albums et classeurs	G0
HC_STORAGE_BOXES	Boîtes de rangement	G0
HC_STORAGE_SLEEVES	Protège-cartes souples	G0
HC_STORAGE_SCREWDOWNS	Protège-cartes rigides	G0
HC_STORAGE_DECKBOXES	Boîtes pour jeux de cartes	G0
HC_STORAGE_ALBUMDIVIDERS	Intercalaires	G0
HC_STORAGE_ALBUMREFILLS	Recharges pour albums	G0
HC_STORAGE_PUZZLEMATS	Tapis de puzzle	G0
HC_STORAGE_OTHER	Autres rangements	G0
HC_GAMING_ACC_DICE	Dés	G0
HC_GAMING_ACC_TOKENS	Jetons et marqueurs	G0
HC_GAMING_ACC_PLAYMATS	Tapis de jeu	G0
HC_GAMING_ACC_OTHER	Autres accessoires de jeux	G0
TOY_FIGURES	Figurines	G0
TOY_FIGURE_ACCESSORIES	Accessoires	G0
TOY_FIGURE_PLAYSET	Sets de jeux	G0
BOARD_GAMES	Jeux de société	G0
KID_SMOCKS	Tabliers et blouses	G0
KID_BEADS	Perles et fabrication de bijoux	G0
KID_CLAY	Argile et pâte à modeler	G0
KID_CRAFT_KIT	Kits créatifs	G0
KID_DRAW_PAINT	Peinture et dessin	G0
KID_EASELS	Tableaux et ardoises	G0
KID_PRINT_STAMP	Pochoirs et tampons	G0
KID_STICKER_STATIONERY	Gommettes et accessoires de papeterie	G0
BABY_ACTIVITY_CENTER	Centres d'activités et trotteurs	G0
BABY_GYMS	Tapis d'éveil et d'activités	G0
BATH_TOYS	Jouets de bain	G0
PUSH_PULL_TOYS	Jouets à pousser et à tirer	G0
RATTLES_TOYS	Hochets	G0
SORT_STACK_TOYS	Jouets de tri et d'empilement	G0
TEETHERS	Jouets de dentition	G0
CONSTRUCTION_NEW	Jeux de construction	G0
DOLLS	Poupées et poupons	G0
DOLL_CLOTHES_ACC	Accessoires pour poupée et poupon	G0
DOLL_FURNITURE	Meubles et accessoires pour maison de poupée	G0
DOLLHOUSE	Maisons de poupées	G0
DOLL_PLAYSET	Kits de jeu pour poupée et poupon	G0
TOY_PRETEND_PLAY	Déguisements	G0
FLASH_CARDS	Cartes flash	G0
PRISM_TOYS	Kaléidoscopes et prismes	G0
PHONICS_TOYS	Jeux de lecture et d'écriture	G0
STEM_TOYS	Jeux scientifiques et STEM	G0
OTHER_EDU_TOYS	Autres jeux éducatifs	G0
AUDIOPLAYER_MEDIA	Musiques et histoires	G0
ELEC_PET	Peluches interactives	G0
KARAOKE_TOY	Équipements de karaoké pour enfants	G0
AUDIOPLAYER_TOY	Boîtes à musique et histoires	G0
RC_TOY	Jouets télécommandés	G0
KID_CAMERA	Appareils photo pour enfant	G0
WALKIE_TALKIE_TOY	Talkies-walkies	G0
OTHER_ELEC_TOY	Autres jeux et jouets électroniques	G0
MUSICAL_NEW	Jeux/jouets musicaux et instruments	G0
NOVELTY_FIDGET_TOYS	Jeux de cirque, fidgets et gadgets	G0
BALLPIT_TOYS	Piscines à balles et accessoires	G0
BEACH_WATER_TOYS	Jeux d'eau et de plage	G0
BUBBLE_TOYS	Machines et flacons à bulles	G0
FOAMBLASTER_TOYS	Pistolets à projectiles en mousse et accessoires	G0
GARDEN_GAMES	Autres jeux de plein air	G0
KITE_ROCKET_TOY	Cerfs-volants et fusées	G0
SANDPIT_WATERTABLE_TOY	Jeux de sable et d'eau	G0
SPORTS_TOYS	Jeux de sport	G0
STUFFED_ANIMALS_NEW	Peluches	G0
TOY_PLANES	Avions	G0
TOY_CARS	Voitures	G0
TOY_TRAINS	Trains	G0
TRUCKS	Camions	G0
TOY_TRACK_GARAGE	Circuits et garages	G0
OTHER_TOY_VEHICLES	Autres véhicules	G0
PUZZLES	Puzzles	G0
TABLETOP_GAMES	Jeux de plateau	G0
CAPES_PONCHOS	Capes et ponchos	G1
W_COATS	Manteaux	G1
WOMEN_OUTERWEAR_VESTS	Vestes sans manches	G1
W_JACKETS	Vestes	G1
W_BOMBERS	Blousons mi-saison	G1
W_RAINCOATS	Imperméables et coupe-vent	G1
HOODIES_JUMPERS	Sweats & sweats à capuche	G1
PULLS_SWEATERS_VESTS	Pulls	G1
WOMEN_WAISTCOAT_SWEATER	Gilets	G1
W_NEW_SWEATERS	Sweats	G1
CARDIGANS	Cardigans	G1
WOM_PUL_OTHER	Autres pull-overs & sweat-shirts	G1
WOM_BLA_BLAZERS	Blazers	G1
W_PANTSUITS	Ensembles tailleur/pantalon	G1
W_SKIRT_SUITS	Jupes et robes tailleurs	G1
W_SUIT_SEPARATES	Tailleurs pièces séparées	G1
W_OTHER_SUITS_BLAZERS	Autres ensembles & tailleurs	G1
MAXI_DRESSES	Robes longues	G1
OCCASIONAL_DRESSES	Robes pour occasions	G1
SUMMER_DRESSES	Robes d'été	G1
WINTER_DRESSES	Robes d'hiver	G1
FORMAL_DRESSES	Robes chics	G1
CASUAL_DRESSES	Robes casual	G1
STRAPLESS_DRESSES	Robes sans bretelles	G1
LITTLE_BLACK_DRESSES	Petites robes noires	G1
JEANS_DRESSES_TUNICS	Robes en jean	G1
WOM_DRE_OTHER	Autres robes	G1
MINI_SKIRTS	Minijupes	G1
WOMEN_KNEE_LENGTH_SKIRTS_REAL	Jupes longueur genou	G1
KNEE_LENGTH_SKIRTS	Jupes midi	G1
MAXI_SKIRTS	Jupes longues	G1
WOMEN_ASYMMETRIC_SKIRTS	Jupes asymétriques	G1
WOMEN_SKORTS	Jupes-shorts	G1
SHIRTS	Chemises	G1
BLOUSES	Blouses	G1
VESTS	Vestes	G1
WOM_TOP_T_SHIRTS	T-shirts	G1
WOM_TOP_T_SHIRTS_LONG_SLEEVE	T-shirts manches longues	G1
TANK_TOPS	Débardeurs	G1
TUNICS	Tuniques ou blouses	G1
CROP_TOPS	Tops courts	G1
SHORT_SLEEVE_BLOUSES	Blouses manches courtes	G1
MIDDLE_SLEEVE_BLOUSES	Blouses ¾	G1
LONG_SLEEVE_BLOUSES	Blouses manches longues	G1
TOPS_BODIES	Bodies	G1
TUBE_TOPS	Tops épaules dénudées	G1
W_TURTLENECKS	Cols roulés	G1
PEPLUM_TOPS	Tops peplum	G1
HALTER_TOPS	Tops dos nu	G1
WOM_TOP_OTHER	Autres hauts	G1
W_CROPPED_JEANS	Jeans courts	G1
FLARED_JEANS	Jeans évasés	G1
W_HIGH_WAIST_JEANS	Jeans taille haute	G1
W_RIPPED_JEANS	Jeans troués	G1
W_SKINNY_JEANS	Jeans skinny	G1
W_STRAIGHT_JEANS	Jeans droits	G1
JEANS_OTHER	Autre	G1
W_REGULAR_PANTS	Pantalons	G1
CROPPED_PANTS	Pantalons courts & chinos	G1
WIDE_LEG_PANTS	Pantalons à jambes larges	G1
SKINNY_TROUSERS	Pantalons skinny	G1
TAILORED_TROUSERS	Pantalons ajustés	G1
W_SLIM_STRAIGHT_PANTS	Pantalons droits	G1
LEATHER_TROUSERS	Pantalons en cuir	G1
LEGGINGS	Leggings	G1
JOGGINGS	Joggings	G1
HAREMS	Sarouels	G1
WOM_TRO_OTHER	Autres pantalons	G1
LOW_WAIST_SHORTS	Shorts taille basse	G1
HIGH_WASTED_SHORTS	Shorts taille haute	G1
MEDIUM_LENGTH_SHORTS	Shorts longueur genou	G1
JEANS_SHORTS	Short en jean	G1
LEATHER_SHORTS	Shorts en cuir	G1
CARGO_SHORTS	Shorts cargo	G1
CAPRI_TROUSERS	Pantacourts	G1
WOM_SHO_OTHER	Autres shorts	G1
W_JUMPSUITS	Combinaisons	G1
W_ROMPERS	Combi Shorts	G1
W_OTHER_ROMPERS_JUMPSUITS	Autres combinaisons & combishorts	G1
ONE_PIECES	Une pièce	G1
TWO_PIECE_SWIMWEAR	Deux pièces	G1
COVERUP_SWIMWEAR	Paréos et sarongs	G1
WOM_SWI_OTHER	Autres	G1
BRAS	Soutiens-gorge	G4
PANTIES_THONGS	Culottes	G1
