profondeur	code	titre	parent	feuille
0	CULTURE_ET_LOISIR	Culture et Loisirs		N
1	LIVRES	Livres	CULTURE_ET_LOISIR	N
2	LIVRES_POUR_BEBE	Livres pour bébé	LIVRES	F
2	LIVRES_SONORES	Livres sonores	LIVRES	F
2	ROMANS_POUR_ENFANTS	Romans pour enfants	LIVRES	F
2	BANDES_DESSINEES	Bandes dessinées	LIVRES	F
2	ROMANS_POUR_ADULTES	Romans pour adultes	LIVRES	F
2	MANGAS	Mangas	LIVRES	F
2	MANUELS_SCOLAIRES	Manuels scolaires	LIVRES	F
2	FICTIONS	Fictions	LIVRES	F
2	NON_FICTION	Non-fiction	LIVRES	F
2	LIVRES_CUISINE	Cuisine	LIVRES	F
2	LIVRES_MAGAZINES	Magazines et revues	LIVRES	F
1	MUSIQUE	Musique	CULTURE_ET_LOISIR	N
2	VINYLES	Vinyles	MUSIQUE	F
2	CD	CD	MUSIQUE	F
2	CASSETTES_AUDIO	Cassettes audio	MUSIQUE	F
1	VIDEO	Vidéo	CULTURE_ET_LOISIR	N
2	DVD	DVD	VIDEO	F
2	BLURAY	Blu-ray	VIDEO	F
1	CARTES_A_COLLECTIONNER	Cartes à collectionner	CULTURE_ET_LOISIR	N
2	CARTE_A_L_UNITE	Carte à l'unité	CARTES_A_COLLECTIONNER	F
2	LOT_DE_CARTES	Lot de cartes	CARTES_A_COLLECTIONNER	F
2	BOOSTER	Booster	CARTES_A_COLLECTIONNER	F
1	CONSOLES	Consoles	CULTURE_ET_LOISIR	N
2	CONSOLES_PORTABLES	Consoles portables	CONSOLES	F
2	CONSOLES_DE_SALON	Consoles de salon	CONSOLES	F
1	JEUX_VIDEO	Jeux vidéo	CULTURE_ET_LOISIR	N
2	JEUX_VIDEO_PLAYSTATION	Jeux PlayStation	JEUX_VIDEO	F
2	JEUX_VIDEO_XBOX	Jeux Xbox	JEUX_VIDEO	F
2	JEUX_VIDEO_NINTENDO	Jeux Nintendo	JEUX_VIDEO	F
2	JEUX_VIDEO_PC	Jeux PC	JEUX_VIDEO	F
2	JEUX_VIDEO_RETRO	Jeux rétro	JEUX_VIDEO	F
1	ORDINATEURS_ACCESSOIRES	High-tech et accessoires	CULTURE_ET_LOISIR	N
2	HOUSSES_ORDINATEUR_PORTABLE	Housses pour ordinateur portable	ORDINATEURS_ACCESSOIRES	F
2	HIGHTECH_COQUES_TELEPHONE	Coques et étuis de téléphone	ORDINATEURS_ACCESSOIRES	F
2	HIGHTECH_PROTECTIONS_ECRAN	Protections d’écran	ORDINATEURS_ACCESSOIRES	F
2	HIGHTECH_SUPPORTS_GRIPS	Supports, anneaux et bijoux de téléphone	ORDINATEURS_ACCESSOIRES	F
2	HIGHTECH_CHARGEURS_CABLES	Chargeurs, câbles et batteries externes	ORDINATEURS_ACCESSOIRES	F
2	HIGHTECH_AUDIO_CASQUES	Casques et écouteurs	ORDINATEURS_ACCESSOIRES	F
2	HIGHTECH_MONTRES_ACCESSOIRES	Bracelets et coques de montre connectée	ORDINATEURS_ACCESSOIRES	F
2	HIGHTECH_HOUSSES_TABLETTE	Housses de tablette et liseuse	ORDINATEURS_ACCESSOIRES	F
2	HIGHTECH_AUTRES	Autres accessoires high-tech	ORDINATEURS_ACCESSOIRES	F
1	LOISIRS_CREATIFS	Loisirs créatifs et couture	CULTURE_ET_LOISIR	N
2	LOISIRS_COUTURE	Couture et mercerie	LOISIRS_CREATIFS	F
2	LOISIRS_TRICOT_CROCHET	Tricot et crochet	LOISIRS_CREATIFS	F
2	LOISIRS_PEINTURE_DESSIN	Peinture et dessin	LOISIRS_CREATIFS	F
2	LOISIRS_BRODERIE	Broderie et point de croix	LOISIRS_CREATIFS	F
2	LOISIRS_SCRAPBOOKING	Scrapbooking et papeterie créative	LOISIRS_CREATIFS	F
2	LOISIRS_BIJOUX_DIY	Bijoux DIY	LOISIRS_CREATIFS	F
2	LOISIRS_MODELISME	Modélisme et maquettes	LOISIRS_CREATIFS	F
2	LOISIRS_CREATIFS_ENFANTS	Loisirs créatifs enfants	LOISIRS_CREATIFS	F
2	LOISIRS_FILAMENT_3D	Filament pour impression 3D	LOISIRS_CREATIFS	F
2	LOISIRS_AUTRES	Autres loisirs créatifs	LOISIRS_CREATIFS	F
1	COLLECTION	Collection	CULTURE_ET_LOISIR	N
2	HC_MEMORABILIA_SPORTS	Souvenirs de sport	COLLECTION	F
2	HC_MEMORABILIA_MUSIC	Souvenirs de musique	COLLECTION	F
2	HC_MEMORABILIA_FILMTV	Souvenirs TV et cinéma	COLLECTION	F
2	HC_MEMORABILIA_OTHER	Autres souvenirs	COLLECTION	F
2	HC_NUMISMATICS_BANKNOTES	Billets	COLLECTION	F
2	HC_NUMISMATICS_COINS	Pièces de monnaie	COLLECTION	F
2	HC_NUMISMATICS_LOTS	Lots de monnaies	COLLECTION	F
2	HC_NUMISMATICS_MEDALSTOKENS	Médailles et jetons	COLLECTION	F
2	HC_NUMISMATICS_SHARES	Titres et actions	COLLECTION	F
2	HC_PHILATELY_SINGLES	Timbres à l'unité	COLLECTION	F
2	HC_PHILATELY_LOTS	Lots de timbres	COLLECTION	F
2	HC_PHILATELY_FDC	Enveloppes premier jour	COLLECTION	F
2	HC_PHILATELY_GUIDES	Catalogues et guides de timbres	COLLECTION	F
2	HC_PHILATELY_TOOLS	Outils et matériel pour timbres	COLLECTION	F
2	HC_POSTCARDS	Cartes postales	COLLECTION	F
1	COLLECTION_STORAGE	Rangement de collection	CULTURE_ET_LOISIR	N
2	HC_STORAGE_ALBUMS	Albums et classeurs	COLLECTION_STORAGE	F
2	HC_STORAGE_BOXES	Boîtes de rangement	COLLECTION_STORAGE	F
2	HC_STORAGE_SLEEVES	Protège-cartes souples	COLLECTION_STORAGE	F
