BLACK|000000|Noir
GREY|919191|Gris
WHITE|FFFFFF|Blanc
CREAM|F8F8E1|Crème
BODY|f4e0c8|Beige
APRICOT|FFCC98|Abricot
ORANGE|FFA500|Orange
CORAL|FE7F5D|Corail
RED|CC3300|Rouge
BURGUNDY|AE2E3D|Bordeaux
PINK|ff0080|Fuchsia
ROSE|FFCCCA|Rose
PURPLE|800080|Violet
LILAC|D297D2|Lila
PLUM|6E2C50|Prune
LIGHT-BLUE|89CFF0|Bleu clair
BLUE|007bc4|Bleu
NAVY|35358D|Marine
TURQUOISE|B7DEE8|Turquoise
MINT|A2FFBC|Menthe
GREEN|369a3d|Vert
DARK-GREEN|356639|Vert foncé
KHAKI|86814A|Kaki
TAUPE|8B7D6B|Taupe
CAMEL|C19A6B|Camel
BROWN|663300|Marron
CHOCOLATE|4E342E|Chocolat
MUSTARD|E5B539|Moutarde
YELLOW|fff200|Jaune
SILVER|dddddd|Argenté
GOLD|be9927|Doré
BRONZE|CD7F32|Bronze
LEOPARD|B8894A|Léopard
VARIOUS||Multicolore
CLEAR|F8FDFD|Transparence
