icone	nb_feuilles_opla	classe	regle_source	feuilles_candidates
🦸	2	NET	figurines?|\bfunko\b|nendoroid|\bamiibo\b|\bbandai\b|banpres	TOY_FIGURES (Figurines) ; MAISON_DECO_SCULPTURES (Sculptures et figurines)
🏀	1	NET	basket[sx]?.?ball|ballon.?(?:de.?)?basket|panier[sx]?.?de.?b	SPORT_TEAM_BASKETBALL (Basketball)
🪖	0	SANS_EQUIVALENT	casque.?(?:moto|scooter|cross|intégral|jet)	
👕	1	NET	maillot.?(?:de.?)?(?:foot|rugby|basket|hand|volley|cyclis|sp	SPORTS_BRA (Brassières)
🧥	0	SANS_EQUIVALENT	combinaison.?(?:de.?)?(?:ski|surf|snowboard|moto|plong[ée]e)	
⛑️	0	SANS_EQUIVALENT	casque.?(?:vélo|ski|snow)	
🪒	0	SANS_EQUIVALENT	tondeuse.?(?:à.?)?(?:barbe|cheveux)|rasoir|épilateur	
🎽	2	NET	sac[sx]?.?de.?(?:sport|gym|fitness)	WOMEN_GYM_BAGS (Sacs de sport) ; MEN_GYM_BAGS (Sacs de sport)
🥽	0	SANS_EQUIVALENT	lunettes?.?de.?(?:natation|piscine)	
🎒	7	AMBIGU	sac[sx]?.?à.?dos|backpack|cartable	BACKPACKS (Sacs à dos) ; SATCHELS_NEW (Cartables et sacoches) ; MEN_ACC_BAG_BACKPACKS (Sacs à dos) ; MEN_ACC_SATCHELS (Cartables et sacoches) ; GIRLS_BAGS (Sacs et sacs à dos) ; BOYS_BAGS (Sacs et sacs à dos) ; KID_SCHOOL_BAGS (Cartables et sacs à dos)
🔌	1	NET	batterie[sx]?.?externe|powerbank|chargeur|câble|adaptateur|\	HIGHTECH_CHARGEURS_CABLES (Chargeurs, câbles et batteries externes)
🏃	0	SANS_EQUIVALENT	tapis[sx]?.?de.?course|vélo[sx]?.?d.?appartement|rameur|elli	
🎹	0	SANS_EQUIVALENT	clavier.?(?:midi|maître|maitre|arrangeur)|piano(?!\s*de\s*cu	
🏎️	0	SANS_EQUIVALENT	voiture[sx]?.?miniature|hot[sx]?.?wheels|majorette	
🧺	0	SANS_EQUIVALENT	machine[sx]?.?à.?laver|lave[sx]?.?linge|sèche[sx]?.?linge|la	
☕	1	NET	machine[sx]?.?à.?café|cafetière|nespresso|senseo|dolce[sx]?.	MAISON_SA_COFFEE (Préparation du café, du thé et de l'expresso)
🃏	1	NET	cartes?\s*(?:pokémon|pokemon|magic|yu.?gi.?oh|panini|à.?coll	BOOSTER (Booster)
👙	4	NET	maillot[sx]?.?de.?bain|bikini|monokini	MEN_SWIMWEAR (Maillots de bain) ; SWIMSUITS_GIRLS_NEW (Maillot de bain 1 pièce) ; BIKINIS_GIRLS_NEW (Maillot de bain 2 pièces) ; BATHSHORTS_BOYS_NEW (Maillots de bain)
🎲	1	NET	jeu[sx]?.?de.?société|monopoly|\buno\b	BOARD_GAMES (Jeux de société)
🧸	2	NET	peluche|doudous?(?![\p{L}\p{N}])	ELEC_PET (Peluches interactives) ; STUFFED_ANIMALS_NEW (Peluches)
🚁	1	NET	télécommandé|voiture[sx]?.?rc\b	RC_TOY (Jouets télécommandés)
🎭	3	NET	déguisement|panoplie\b|costume[sx]?.?de.?(?:pirate|princesse	TOY_PRETEND_PLAY (Déguisements) ; COSTUMES_GIRLS_NEW (Déguisements) ; OCC_BOYS_NEW (Déguisements)
⏱️	1	NET	montre[sx]?.?connectée|smart[sx]?.?watch|apple[sx]?.?watch|g	HIGHTECH_MONTRES_ACCESSOIRES (Bracelets et coques de montre connectée)
📡	0	SANS_EQUIVALENT	enceinte[sx]?.?connectée|google[sx]?.?home|amazon[sx]?.?echo	
📇	1	NET	liseuse|kindle|\bkobo\b	HIGHTECH_HOUSSES_TABLETTE (Housses de tablette et liseuse)
🐕	0	SANS_EQUIVALENT	collier.?(?:pour.?)?(?:chien|chat)|gamelle|croquettes?\b|lit	
🥿	5	NET	chausson|pantoufle|charentaise	SLIPPERS (Chaussons et pantoufles) ; MEN_SLIPPERS_2 (Chaussons et pantoufles) ; SLIPPERS_GIRLS_NEW (Chaussons et pantoufles) ; SLIPPERS_BOYS_NEW (Chaussons et pantoufles) ; SPORT_WATER_WETSUITS (Combinaisons, gants et chaussons)
👝	2	NET	sac[sx]?.?banane|banane.?(?:eastpak|nike|adidas)|fanny[sx]?.	W_BUM_BAGS (Sacs banane) ; MEN_ACC_BUMBAGS (Sacs banane)
🛌	2	NET	housse[sx]?.?de.?couette|parure[sx]?.?de.?lit|taie[sx]?.?d.?	KID_MATTRESS_COVER (Draps-housses et alèses) ; KID_SHEETS (Draps)
🚼	1	NET	lit[sx]?.?parapluie|lit[sx]?.?à.?barreaux|berceau|cododo|tab	KID_NESTS (Réducteurs de lit)
🧼	1	NET	fer[sx]?.?à.?repasser|défroisseur|centrale[sx]?.?vapeur|tabl	MAISON_MAINT_IRONS (Fers à repasser et entretien du linge)
🧵	0	SANS_EQUIVALENT	machine[sx]?.?à.?coudre|surjeteuse	
🤿	0	SANS_EQUIVALENT	plongée|\btuba\b|\bpalmes\b	
🏄	1	NET	paddle|kayak|wakeboard|kitesurf|skimboard|ski[sx]?.?nautique	SPORT_WATER_SKIMBOARDS (Skimboards)
🐴	4	NET	équitation|équestre|cravache|licol|tapis[sx]?.?de.?selle|étr	SPORT_HORSE_PROTECTION (Protections d'équitation) ; SPORT_HORSE_HELMETS (Bombes d'équitation) ; SPORT_HORSE_GLOVES (Gants d'équitation) ; SPORT_HORSE_HELMET_COVERS (Couvre-casques d'équitation)
🎱	5	NET	billard|snooker|pétanque|fléchette|bowling|frisbee	SPORT_LEISURE_DARTS (Matériel pour fléchettes) ; SPORT_LEISURE_BOULES (Pétanque et autres jeux) ; SPORT_LEISURE_BILLIARDS (Billard et snooker) ; SPORT_LEISURE_FRISBEE (Frisbee et disc golf) ; SPORT_LEISURE_BOWLING (Bowling)
🧢	8	AMBIGU	casquette|chapeau|bonnet|\bbob\b|béret|beret	WOMEN_BEANIES (Bonnets) ; CAPS (Casquettes) ; HATS (Chapeaux) ; MEN_BEANIES (Bonnets) ; MEN_ACC_HAT_CAPS (Casquettes) ; MEN_ACC_HAT_HATS (Chapeaux) ; HATS_GIRLS_NEW (Casquettes, chapeaux et bonnets) ; CAPS_BOYS_NEW (Casquettes, chapeaux et bonnets)
👟	47	AMBIGU	basket|sneaker|chaussure|jordan|air[sx]?.?max|air[sx]?.?forc	WOMEN_BOAT_SHOES_LOAFERS_MOCCASINS (Mocassins et chaussures bateau) ; WOMEN_ESPADRILLES (Espadrilles) ; HIGH_HEELS (Chaussures à talons) ; WOMEN_LACE_UP_SHOES (Chaussures à lacets) ; WOMEN_BASKETBALL_SHOES (Chaussures de basket) ; WOMEN_CLIMBING_BOULDERING_SHOES (Chaussures d'escalade) ; WOMEN_CYCLING_SHOES (Chaussures de cyclisme) ; WOMEN_DANCE_SHOES (Chaussures de danse)
👢	20	AMBIGU	botte|bottine|\bboots?\b	WOMEN_ANKLE_BOOTS (Bottines) ; WOMEN_MID_CALF_BOOTS (Bottes mi-hautes) ; KNEE_LENGHT_BOOTS (Bottes hautes) ; WOMEN_SNOW_BOOTS (Bottes de neige) ; WELLINGTON_BOOTS (Bottes de pluie) ; WOMEN_WORK_BOOTS (Bottes de travail) ; WOMEN_HIKING_BOOTS_SHOES (Chaussures et bottes de randonnée) ; WOMEN_MOTORBIKE_BOOTS (Bottes de moto)
👠	3	NET	\btalons?\b|escarpin|ballerine|compensée|louboutin	WOMEN_BALLERINAS (Ballerines) ; HIGH_HEELS (Chaussures à talons) ; GIRLS_HEELS (Chaussures à talons)
🩴	7	AMBIGU	sandalettes?|sandale|tongs?\b|claquette|(?<![\p{L}\p{N}])mul	WOMEN_CLOGS_MULES (Mules et sabots) ; WOMEN_FLIPFLOPS_SLIDES (Claquettes et tongs) ; WOMEN_SANDALS (Sandales) ; MEN_FLIPFLOPS_SLIDES (Claquettes et tongs) ; MEN_SANDALS_NEW (Sandales) ; GIRLS_FLIP_FLOPS_SANDALS_SLIDES (Sandales, claquettes et tongs) ; BOYS_FLIP_FLOPS_SANDALS_SLIDES (Sandales, claquettes et tongs)
👜	26	AMBIGU	\bsacs?\b(?!\s*(?:de.?couchage|de.?frappe|poubelle|congélati	BACKPACKS (Sacs à dos) ; WOMEN_BASKET_BAGS (Sacs panier) ; WOMEN_BEACH_BAGS (Sacs de plage) ; W_BUM_BAGS (Sacs banane) ; CLUTCHES (Pochettes) ; WOMEN_GYM_BAGS (Sacs de sport) ; HANDBAGS (Sacs à main) ; W_HOLDALLS (Fourre-tout et sacs marins)
👛	4	NET	portefeuille|porte[sx]?.?monnaie|porte[sx]?.?carte	PURSES (Porte-monnaie) ; WALLETS (Porte-monnaie) ; KIDS_WALLETS_NEW (Porte-monnaie) ; WALLETS_BOYS_NEW (Porte-monnaie)
🧳	1	NET	valisettes?|valise|bagage	MEN_LUGGAGE (Bagages et valises)
👕	0	SANS_EQUIVALENT	^(?=[\s\S]*\b(?:ensembles?|bodysuits?)\b)(?=[\s\S]*(?:bébé|b	
🩲	0	SANS_EQUIVALENT	^(?=[\s\S]*grenouillères?)(?=[\s\S]*(?:bébé|bebe|\b\d+\s?moi	
👖	0	SANS_EQUIVALENT	^(?=[\s\S]*\bsarouels?\b)(?=[\s\S]*(?:bébé|bebe|\b\d+\s?mois	
👗	24	AMBIGU	(?<![-\w])robes?\b|jupes?\b	W_SKIRT_SUITS (Jupes et robes tailleurs) ; MAXI_DRESSES (Robes longues) ; OCCASIONAL_DRESSES (Robes pour occasions) ; SUMMER_DRESSES (Robes d'été) ; WINTER_DRESSES (Robes d'hiver) ; FORMAL_DRESSES (Robes chics) ; CASUAL_DRESSES (Robes casual) ; STRAPLESS_DRESSES (Robes sans bretelles)
